year,52weekhigh,52weeklow
1984,6.906,1.038
1985,12.188,1.4
1986,15.594,5.35
1987,15.594,3.5
1988,15.813,2.875
1989,11.875,2.2
1990,8,1.375
1991,3.375,0.375
1992,2.5,0.425
1993,2.625,0.375
1994,2.75,0.75
1995,2.738,1.35
1996,4,1.45
1997,5.25,1.7
1998,5.5,1.925
1999,5.5,2.25
2000,5.063,1.713
2001,4.375,0.27
2002,3.375,0.27
2003,2.9,1.14
2004,3.762,0.95
2005,3.464,1.176
2006,3.86,2.036
2007,5.35,1.41
2008,5.44,0.52
2009,5.43,0.432
2010,3,0.46
2011,2.25,0.566
2012,3,1.06
2013,4.19,1.526
2014,4.38,1.698
2015,4.25,0.796
2016,4.15,2.782
2017,4.05,2.568
