symbol,date,open,high,low,close,volume,adj_close
AAME,1/1/2010,"	1.166",1.208,1.14,1.166,7040,1.103
AAON,1/1/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/1/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAWW,1/1/2010,"	34.078",34.532,33.69,34.182,124420,34.182
AAME,1/2/2010,"	1.166",1.208,1.14,1.166,7040,1.103
AAON,1/2/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/2/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAWW,1/2/2010,"	34.078",34.532,33.69,34.182,124420,34.182
AAME,1/3/2010,"	1.166",1.208,1.14,1.166,7040,1.103
AAON,1/3/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/3/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAWW,1/3/2010,"	34.078",34.532,33.69,34.182,124420,34.182
AAME,1/4/2010,"	1.320",1.32,1.32,1.32,1500,1.248
AAON,1/4/2010,"	19.820",20,19.6,19.99,245700,5.561
AAPL,1/4/2010,"	213.430",214.5,212.38,214.01,123432400,28.589
AAWW,1/4/2010,"	37.980",38.66,37.07,38.2,607500,38.2
AAME,1/5/2010,"	1.300",1.4,1.26,1.4,21900,1.324
AAON,1/5/2010,"	19.950",19.98,19.14,19.41,430200,5.4
AAPL,1/5/2010,"	214.600",215.59,213.25,214.38,150476200,28.638
AAWW,1/5/2010,"	38.480",40.61,38.05,40.31,427000,40.31
AAME,1/6/2010,"	1.400",1.4,1.4,1.4,0,1.324
AAON,1/6/2010,"	19.410",19.65,18.64,18.64,709400,5.185
AAPL,1/6/2010,"	214.380",215.23,210.75,210.97,138040000,28.183
AAWW,1/6/2010,"	40.220",40.22,38.42,38.63,293600,38.63
AAME,1/7/2010,"	1.290",1.4,1.29,1.32,16400,1.248
AAON,1/7/2010,"	18.870",19.38,18.73,19.33,240300,5.377
AAPL,1/7/2010,"	211.750",212,209.05,210.58,119282800,28.13
AAWW,1/7/2010,"	38.660",39.26,38.26,38.95,170200,38.95
AAME,1/8/2010,"	1.390",1.39,1.39,1.39,100,1.315
AAON,1/8/2010,"	19.230",19.61,19.08,19.56,137000,5.441
AAPL,1/8/2010,"	210.300",212,209.06,211.98,111902700,28.318
