date,open,high,low,close
2/10/2012,"	26.960",26.96,26.96,26.96
2/11/2012,"	26.960",26.96,26.96,26.96
2/12/2012,"	26.960",26.96,26.96,26.96
2/13/2012,"	26.960",26.96,26.96,26.96
2/14/2012,"	26.960",26.96,26.96,26.96
2/15/2012,"	26.960",26.96,26.96,26.96
2/16/2012,"	26.960",26.96,26.96,26.96
2/17/2012,"	26.960",26.96,26.96,26.96
2/18/2012,"	22.660",22.66,22.66,22.66
2/19/2012,"	22.660",22.66,22.66,22.66
2/20/2012,"	28.320",28.746,28.096,28.51
2/21/2012,"	26.960",26.96,26.96,26.96
2/22/2012,"	26.960",26.96,26.96,26.96
2/23/2012,"	29.690",29.69,29.69,29.69
2/24/2012,"	29.690",29.69,29.69,29.69
2/25/2012,"	28.320",28.746,28.096,28.51
2/26/2012,"	28.320",28.746,28.096,28.51
2/27/2012,"	28.230",30.36,28.23,30.11
2/28/2012,"	29.040",29.04,27.92,28.11
2/29/2012,"	28.110",28.11,28.11,28.11
3/1/2012,"	28.110",28.11,28.11,28.11
3/2/2012,"	28.110",28.11,28.11,28.11
3/3/2012,"	27.358",27.358,27.358,27.358
3/4/2012,"	27.358",27.358,27.358,27.358
3/5/2012,"	28.110",28.11,28.11,28.11
3/6/2012,"	27.170",27.17,27.17,27.17
3/7/2012,"	27.170",27.17,27.17,27.17
3/8/2012,"	27.170",27.17,27.17,27.17
3/9/2012,"	27.170",27.17,27.17,27.17
3/10/2012,"	27.170",27.17,27.17,27.17
3/11/2012,"	27.170",27.17,27.17,27.17
3/12/2012,"	27.170",27.17,27.17,27.17
3/13/2012,"	27.170",27.17,27.17,27.17
3/14/2012,"	27.170",27.17,27.17,27.17
3/15/2012,"	27.170",27.17,27.17,27.17
3/16/2012,"	27.170",27.17,27.17,27.17
3/17/2012,"	27.170",27.17,27.17,27.17
3/18/2012,"	27.170",27.17,27.17,27.17
3/19/2012,"	27.170",27.17,27.17,27.17
3/20/2012,"	27.170",27.17,27.17,27.17
3/21/2012,"	27.170",27.17,27.17,27.17
3/22/2012,"	27.170",27.17,27.17,27.17
3/23/2012,"	27.170",27.17,27.17,27.17
3/24/2012,"	27.170",27.17,27.17,27.17
3/25/2012,"	27.170",27.17,27.17,27.17
3/26/2012,"	27.170",27.17,27.17,27.17
3/27/2012,"	27.170",27.17,27.17,27.17
3/28/2012,"	27.170",27.17,27.17,27.17
3/29/2012,"	27.170",27.17,27.17,27.17
3/30/2012,"	27.170",27.17,27.17,27.17
3/31/2012,"	21.736",21.736,21.736,21.736
4/1/2012,"	21.736",21.736,21.736,21.736
4/2/2012,"	27.170",27.17,27.17,27.17
4/3/2012,"	27.170",27.17,27.17,27.17
4/4/2012,"	27.170",27.17,27.17,27.17
4/5/2012,"	27.170",27.17,27.17,27.17
4/6/2012,"	28.112",28.112,28.112,28.112
4/7/2012,"	28.112",28.112,28.112,28.112
4/8/2012,"	28.112",28.112,28.112,28.112
4/9/2012,"	28.480",28.48,28.48,28.48
4/10/2012,"	28.020",28.02,28.02,28.02
4/11/2012,"	28.020",28.02,28.02,28.02
4/12/2012,"	28.020",28.02,28.02,28.02
4/13/2012,"	28.020",28.02,28.02,28.02
4/14/2012,"	28.020",28.02,28.02,28.02
4/15/2012,"	28.020",28.02,28.02,28.02
4/16/2012,"	28.020",28.02,28.02,28.02
4/17/2012,"	28.020",28.02,28.02,28.02
4/18/2012,"	28.020",28.02,28.02,28.02
4/19/2012,"	28.020",28.02,28.02,28.02
4/20/2012,"	28.020",28.02,28.02,28.02
4/21/2012,"	28.020",28.02,28.02,28.02
4/22/2012,"	28.020",28.02,28.02,28.02
4/23/2012,"	28.020",28.02,28.02,28.02
4/24/2012,"	28.020",28.02,28.02,28.02
4/25/2012,"	28.020",28.02,28.02,28.02
