group,symbol,radius
1,AAL,3
2,AAME,4
2,AAOI,5
3,AAON,6
2,AAPC,7
2,AAPL,4
2,AAVL,5
3,AAWW,6
2,AAXJ,7
2,ABAC,9
2,ABAX,3
2,ABCB,5
2,ABCD,3
3,ABCO,4
2,ABCW,5
3,ABDC,6
2,ABEO,7
2,ABEOW,4
1,ABIO,5
2,ABMD,6
2,ABTL,7
3,ABTX,9
3,ABUS,3
3,ABY,5
2,ACAD,3
2,ACAS,4
2,ACAT,5
3,ACBI,6
3,ACET,7
1,ACFC,4
2,ACGL,5
2,ACHC,6
2,ACHN,7
2,ACIW,9
2,ACLS,3
3,ACNB,5
2,ACOR,3
2,ACPW,4
2,ACRS,5
3,ACRX,6
3,ACSF,7
2,ACST,4
2,ACTA,5
3,ACTG,6
3,ACTS,7
2,ACTX,9
2,ACWI,3
2,ACWX,5
2,ACXM,3
2,ADAP,4
1,ADAT,5
2,ADBE,6
2,ADHD,7
2,ADI,4
2,ADMA,5
2,ADMP,6
2,ADMS,7
3,ADP,9
2,ADRA,3
2,ADRD,5
2,ADRE,3
2,ADRO,4
2,ADRU,5
2,ADSK,6
2,ADTN,7
1,ADUS,4
3,ADXS,5
3,ADXSW,6
1,AEGR,7
3,AEHR,9
2,AEIS,3
2,AEMD,5
2,AEPI,3
3,AERI,4
1,AETI,5
2,AEY,6
2,AEZS,7
2,AFAM,4
3,AFCB,5
2,AFFX,6
1,AFH,7
3,AFMD,9
2,AFOP,3
3,AFSI,5
2,AGEN,3
3,AGFS,4
3,AGFSW,5
2,AGIIL,6
2,AGMX,7
2,AGNCB,4
2,AGNCP,5
2,AGRX,6
2,AGTC,7
3,AGYS,9
3,AGZD,3
2,AHGP,5
2,AHPI,3
2,AIMC,4
1,AIMT,5
1,AINV,6
2,AIQ,7
2,AIRM,4
2,AIRR,5
2,AIRT,6
2,AIXG,7
1,AKAM,9
2,AKAO,3
2,AKBA,5
3,AKER,3
2,AKRX,4
2,AKTX,5
2,ALCO,6
3,ALDR,7
2,ALDX,4
2,ALGN,5
2,ALGT,6
2,ALIM,7
2,ALKS,9
2,ALLT,3
2,ALNY,5
2,ALOG,3
2,ALOT,4
2,ALQA,5
2,ALRM,6
1,ALSK,7
2,ALTR,4
2,ALTY,5
2,ALXN,6
2,AMAG,7
1,AMAT,9
2,AMBA,3
2,AMBC,5
1,AMBCW,3
1,AMCN,4
3,AMCX,5
2,AMD,6
2,AMDA,7
2,AMED,4
2,AMEH,5
2,AMIC,6
2,AMKR,7
2,AMNB,9
3,AMOT,3
3,AMOV,5
2,AMPH,3
1,AMRB,4
2,AMRI,5
1,AMRK,6
2,AMRN,7
3,AMRS,4
3,AMSC,5
2,AMSF,6
2,AMSG,7
2,AMSGP,9
3,AMSWA,3
3,AMTX,5
2,AMWD,3
2,AMZN,4
2,ANAC,5
2,ANAD,6
2,ANAT,7
2,ANCB,4
2,ANCX,5
3,ANDA,6
2,ANDE,7
1,ANGI,9
1,ANGO,3
3,ANIK,5
1,ANIP,3
3,ANSS,4
2,ANTE,5
3,ANY,6
2,AOSL,7
3,APDN,4
2,APDNW,5
3,APIC,6
3,APLP,7
1,APOG,9
2,APOL,3
1,APPF,5
1,APPS,3
2,APPY,4
2,APRI,5
2,APTO,6
2,APWC,7
2,AQMS,4
2,AQXP,5
3,ARAY,6
1,ARBR,7
1,ARCC,9
2,ARCI,3
2,ARCW,5
2,ARDM,3
2,ARDX,4
3,AREX,5
2,ARGS,6
2,ARIA,7
2,ARII,4
2,ARIS,5
2,ARKR,6
2,ARLP,7
2,ARMH,9
2,ARNA,3
3,AROW,5
3,ARQL,3
2,ARRS,4
2,ARRY,5
1,ARTNA,6
3,ARTW,7
2,ARTX,4
2,ARWA,5
2,ARWAR,6
3,ASBB,7
2,ASBI,9
2,ASCMA,3
3,ASEI,5
3,ASFI,3
2,ASMB,4
2,ASML,5
2,ASNA,6
2,ASND,7
3,ASPS,4
3,ASRV,5
2,ASRVP,6
2,ASTE,7
1,ASTI,9
2,ASUR,3
2,ASYS,5
2,ATAI,3
2,ATAX,4
3,ATEC,5
2,ATHN,6
2,ATHX,7
2,ATLC,4
2,ATLO,5
3,ATML,6
2,ATNI,7
2,ATNY,9
2,ATOS,3
2,ATRA,5
1,ATRC,3
1,ATRI,4
1,ATRO,5
1,ATRS,6
3,ATSG,7
1,ATTU,4
3,ATVI,5
2,AUBN,6
2,AUDC,7
2,AUMA,9
3,AUMAU,3
2,AVAV,5
1,AVEO,3
2,AVGO,4
2,AVGR,5
3,AVHI,6
3,AVID,7
3,AVNU,4
2,AVNW,5
2,AVXL,6
2,AWAY,7
2,AWRE,9
2,AXAS,3
2,AXDX,5
1,AXGN,3
2,AXPW,4
2,AXPWW,5
2,AXTI,6
2,AYA,7
2,AZPN,4
2,BABY,5
2,BAMM,6
2,BANF,7
1,BANFP,9
2,BANR,3
2,BANX,5
2,BASI,3
2,BBBY,4
2,BBC,5
2,BBCN,6
2,BBEP,7
3,BBEPP,4
2,BBGI,5
2,BBLU,6
2,BBOX,7
2,BBP,9
2,BBRG,3
2,BBRY,5
2,BBSI,3
3,BCBP,4
2,BCDA,5
2,BCOM,6
1,BCOR,7
3,BCOV,4
3,BCPC,5
2,BCRX,6
1,BDBD,7
1,BDCV,9
2,BDE,3
2,BDGE,5
1,BDMS,3
2,BDSI,4
3,BEAT,5
3,BEAV,6
2,BEBE,7
2,BECN,4
2,BELFA,5
3,BELFB,6
3,BFIN,7
3,BGCP,9
2,BGFV,3
3,BHAC,5
2,BHACR,3
3,BIB,4
1,BICK,5
2,BIDU,6
2,BIIB,7
2,BIND,4
2,BIOC,5
2,BIOD,6
2,BIOL,7
2,BIOS,9
2,BIS,3
2,BITE,5
2,BJRI,3
2,BKCC,4
1,BKEP,5
3,BKEPP,6
3,BKMU,7
3,BKSC,4
2,BLBD,5
3,BLCM,6
1,BLDP,7
3,BLDR,9
2,BLFS,3
2,BLIN,5
2,BLKB,3
2,BLMN,4
2,BLMT,5
3,BLPH,6
2,BLRX,7
2,BLUE,4
2,BLVD,5
3,BMRN,6
2,BMTC,7
3,BNCL,9
2,BNCN,3
1,BNDX,5
2,BNFT,3
2,BNSO,4
2,BNTC,5
2,BNTCW,6
1,BOCH,7
2,BOFI,4
2,BOJA,5
1,BOKF,6
2,BONA,7
1,BONT,9
