symbol,date,open,high,low,close,volume,adj_close
AAON,1/1/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/1/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAON,1/2/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/2/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAON,1/3/2010,"	20.058",20.176,19.71,19.97,242940,5.535
AAPL,1/3/2010,"	186.438",188.612,184.474,186.766,130014080,24.949
AAON,1/4/2010,"	19.820",20,19.6,19.99,245700,5.561
AAPL,1/4/2010,"	213.430",214.5,212.38,214.01,123432400,28.589
AAON,1/5/2010,"	19.950",19.98,19.14,19.41,430200,5.4
AAPL,1/5/2010,"	214.600",215.59,213.25,214.38,150476200,28.638
AAON,1/6/2010,"	19.410",19.65,18.64,18.64,709400,5.185
AAPL,1/6/2010,"	214.380",215.23,210.75,210.97,138040000,28.183
AAON,1/7/2010,"	18.870",19.38,18.73,19.33,240300,5.377
AAPL,1/7/2010,"	211.750",212,209.05,210.58,119282800,28.13
AAON,1/8/2010,"	19.230",19.61,19.08,19.56,137000,5.441
AAPL,1/8/2010,"	210.300",212,209.06,211.98,111902700,28.318
AAON,1/9/2010,"	19.456",19.724,19.038,19.386,352520,5.393
AAPL,1/9/2010,"	212.892",213.864,210.898,212.384,128626820,28.371
AAON,1/10/2010,"	19.456",19.724,19.038,19.386,352520,5.393
AAPL,1/10/2010,"	212.892",213.864,210.898,212.384,128626820,28.371
AAON,1/11/2010,"	19.790",20.13,19.49,20.09,268700,5.589
AAPL,1/11/2010,"	212.800",213,208.45,210.11,115557400,28.068
AAON,1/12/2010,"	20.000",20.13,19.69,19.8,148100,5.508
AAPL,1/12/2010,"	209.190",209.77,206.42,207.72,148614900,27.748
AAON,1/13/2010,"	19.920",20,19.61,19.93,104900,5.544
AAPL,1/13/2010,"	207.870",210.93,204.1,210.65,151473000,28.14
AAON,1/14/2010,"	19.840",19.93,19.73,19.91,71700,5.539
AAPL,1/14/2010,"	210.110",210.46,209.02,209.43,108223500,27.977
AAON,1/15/2010,"	20.000",20,19.02,19.15,257900,5.327
AAPL,1/15/2010,"	210.930",211.6,205.87,205.93,148516900,27.509
AAON,1/16/2010,"	19.910",20.038,19.508,19.776,170260,5.501
AAPL,1/16/2010,"	210.180",211.152,206.772,208.768,134477140,27.888
AAON,1/17/2010,"	19.910",20.038,19.508,19.776,170260,5.501
AAPL,1/17/2010,"	210.180",211.152,206.772,208.768,134477140,27.888
AAON,1/18/2010,"	15.286",15.582,15.154,15.37,216660,4.276
AAPL,1/18/2010,"	168.420",170.31,164.222,166.518,141604120,22.244
AAON,1/19/2010,"	19.130",19.68,18.93,19.28,426200,5.363
AAPL,1/19/2010,"	208.330",215.19,207.24,215.04,182501900,28.726
AAON,1/20/2010,"	19.120",19.12,18.89,19.04,209900,5.297
AAPL,1/20/2010,"	214.910",215.55,209.5,211.73,153038200,28.284
