Date,Open,High,Low,Close,Volume,Adj Close,action
8/5/15,634.330017,647.859985,633.159973,643.780029,2331200,643.780029,SELL
8/4/15,628.419983,634.809998,627.159973,629.25,1481800,629.25,BUY
8/3/15,625.340027,633.05603,625.340027,631.210022,1300300,631.210022,SELL
7/31/15,631.380005,632.909973,625.5,625.609985,1702400,625.609985,BUY
7/30/15,630,635.219971,622.049988,632.590027,1465300,632.590027,SELL
7/29/15,628.799988,633.359985,622.650024,631.929993,1565000,631.929993,BUY
7/28/15,632.830017,632.830017,623.309998,628,1704300,628,BUY
7/27/15,621,634.299988,620.5,627.26001,2668700,627.26001,BUY
7/24/15,647,648.169983,622.52002,623.559998,3608400,623.559998,BUY
7/23/15,661.27002,663.630005,641,644.280029,3001800,644.280029,SELL
7/22/15,660.890015,678.640015,659,662.099976,3689600,662.099976,SELL
7/21/15,655.210022,673,654.299988,662.299988,3348400,662.299988,SELL
7/20/15,659.23999,668.880005,653.01001,663.02002,5848800,663.02002,SELL
7/17/15,649,674.468018,645,672.929993,11134500,672.929993,SELL
7/16/15,565.119995,580.679993,565,579.849976,4053900,579.849976,BUY
7/15/15,560.130005,566.502991,556.789978,560.219971,1776600,560.219971,BUY
7/14/15,546.76001,565.848999,546.710022,561.099976,3225100,561.099976,SELL
7/13/15,532.880005,547.109985,532.400024,546.549988,2199800,546.549988,BUY
7/10/15,526.289978,532.559998,525.549988,530.130005,1859900,530.130005,BUY
7/9/15,523.119995,523.77002,520.349976,520.679993,1839400,520.679993,BUY
7/8/15,521.049988,522.734009,516.109985,516.830017,1264600,516.830017,BUY
7/7/15,523.130005,526.179993,515.179993,525.02002,1595700,525.02002,SELL
7/6/15,519.5,525.25,519,522.859985,1276500,522.859985,BUY
7/2/15,521.080017,524.650024,521.080017,523.400024,1234000,523.400024,SELL
7/1/15,524.72998,525.690002,518.22998,521.840027,1961000,521.840027,BUY
6/30/15,526.02002,526.25,520.5,520.51001,2217200,520.51001,BUY
6/29/15,525.01001,528.609985,520.539978,521.52002,1930900,521.52002,SELL
6/26/15,537.26001,537.76001,531.349976,531.690002,2011500,531.690002,SELL
6/25/15,538.869995,540.900024,535.22998,535.22998,1331500,535.22998,SELL
6/24/15,540,540,535.659973,537.840027,1283400,537.840027,SELL
6/23/15,539.640015,541.499023,535.25,540.47998,1196000,540.47998,SELL
6/22/15,539.590027,543.73999,537.530029,538.190002,1242500,538.190002,BUY
6/19/15,537.210022,538.25,533.01001,536.690002,1885700,536.690002,BUY
6/18/15,531,538.150024,530.789978,536.72998,1828100,536.72998,SELL
6/17/15,529.369995,530.97998,525.099976,529.26001,1268600,529.26001,BUY
6/16/15,528.400024,529.640015,525.559998,528.150024,1069300,528.150024,BUY
6/15/15,528,528.299988,524,527.200012,1630700,527.200012,BUY
6/12/15,531.599976,533.119995,530.159973,532.330017,952400,532.330017,SELL
6/11/15,538.424988,538.97998,533.02002,534.609985,1205000,534.609985,SELL
6/10/15,529.359985,538.359985,529.349976,536.690002,1811400,536.690002,SELL
6/9/15,527.559998,529.200012,523.01001,526.690002,1441600,526.690002,BUY
6/8/15,533.309998,534.119995,526.23999,526.830017,1520600,526.830017,SELL
6/5/15,536.349976,537.200012,532.52002,533.330017,1375000,533.330017,SELL
6/4/15,537.76001,540.590027,534.320007,536.700012,1335600,536.700012,SELL
6/3/15,539.909973,543.5,537.109985,540.309998,1714500,540.309998,SELL
6/2/15,532.929993,543,531.330017,539.179993,1934700,539.179993,BUY
6/1/15,536.789978,536.789978,529.76001,533.98999,1899600,533.98999,BUY
5/29/15,537.369995,538.630005,531.450012,532.109985,2584900,532.109985,BUY
5/28/15,538.01001,540.609985,536.25,539.780029,1027900,539.780029,SELL
5/27/15,532.799988,540.549988,531.710022,539.789978,1520400,539.789978,SELL
5/26/15,538.119995,539,529.880005,532.320007,2403400,532.320007,BUY
5/22/15,540.150024,544.190002,539.51001,540.109985,1173300,540.109985,SELL
5/21/15,537.950012,543.840027,535.97998,542.51001,1461400,542.51001,SELL
5/20/15,538.48999,542.919983,532.971985,539.27002,1429100,539.27002,BUY
5/19/15,533.97998,540.659973,533.039978,537.359985,1963300,537.359985,BUY
5/18/15,532.01001,534.820007,528.849976,532.299988,1998600,532.299988,BUY
5/15/15,539.179993,539.273987,530.380005,533.849976,1962700,533.849976,SELL
5/14/15,533.77002,539,532.409973,538.400024,1399100,538.400024,SELL
5/13/15,530.559998,534.322021,528.655029,529.619995,1252300,529.619995,BUY
5/12/15,531.599976,533.208984,525.26001,529.039978,1625400,529.039978,BUY
5/11/15,538.369995,541.97998,535.400024,535.700012,905300,535.700012,SELL
5/8/15,536.650024,541.150024,525,538.219971,1527600,538.219971,SELL
5/7/15,523.98999,533.460022,521.75,530.700012,1546300,530.700012,BUY
5/6/15,531.23999,532.380005,521.085022,524.219971,1567000,524.219971,BUY
5/5/15,538.210022,539.73999,530.390991,530.799988,1383100,530.799988,SELL
5/4/15,538.530029,544.070007,535.059998,540.780029,1308000,540.780029,SELL
5/1/15,538.429993,539.539978,532.099976,537.900024,1768200,537.900024,BUY
4/30/15,547.869995,548.590027,535.049988,537.340027,2082200,537.340027,BUY
4/29/15,550.469971,553.679993,546.905029,549.080017,1698800,549.080017,SELL
4/28/15,554.640015,556.02002,550.366028,553.679993,1491000,553.679993,SELL
4/27/15,563.390015,565.950012,553.200012,555.369995,2398000,555.369995,SELL
4/24/15,566.102522,571.14259,557.252507,565.062561,4932500,565.062561,SELL
4/23/15,541.002435,550.96249,540.23244,547.002472,4184900,547.002472,BUY
4/22/15,534.402426,541.082489,531.752397,539.367458,1593600,539.367458,BUY
4/21/15,537.512456,539.392429,533.677415,533.972413,1844800,533.972413,BUY
4/20/15,525.602352,536.092424,524.50235,535.382408,1679300,535.382408,SELL
4/17/15,528.662379,529.842435,521.012371,524.052386,2144100,524.052386,BUY
4/16/15,529.902414,535.592457,529.612373,533.802391,1299900,533.802391,SELL
4/15/15,528.702406,534.732432,523.22235,532.532429,2318800,532.532429,BUY
4/14/15,536.252409,537.572435,528.094354,530.392405,2604100,530.392405,BUY
4/13/15,538.412385,544.062463,537.312445,539.172404,1645300,539.172404,SELL
4/10/15,542.292411,542.292411,537.312445,540.012477,1409500,540.012477,SELL
4/9/15,541.032486,541.95249,535.49239,540.782472,1557900,540.782472,SELL
4/8/15,538.382457,543.852415,538.382457,541.612446,1178500,541.612446,SELL
4/7/15,538.08244,542.692434,536.002395,537.022465,1302900,537.022465,BUY
4/6/15,532.222375,538.412385,529.572407,536.767432,1324400,536.767432,BUY
4/2/15,540.852427,540.852427,533.849395,535.532478,1716400,535.532478,BUY
4/1/15,548.602441,551.142488,539.502472,542.562439,1963100,542.562439,SELL
3/31/15,550.00246,554.712521,546.722468,548.002468,1588000,548.002468,SELL
3/30/15,551.622503,553.472487,548.17249,552.032502,1287500,552.032502,SELL
3/27/15,553.002509,555.282565,548.132463,548.342512,1897500,548.342512,BUY
3/26/15,557.59255,558.90254,550.652497,555.172522,1572600,555.172522,SELL
3/25/15,570.50259,572.262605,558.742494,558.787478,2152300,558.787478,SELL
3/24/15,562.562541,574.592603,561.212586,570.192597,2583300,570.192597,SELL
3/23/15,560.432554,562.362529,555.832536,558.81251,1643800,558.81251,BUY
3/20/15,561.652574,561.722529,559.052548,560.362537,2616900,560.362537,SELL
3/19/15,559.392531,560.802526,556.147548,557.992512,1197300,557.992512,BUY
3/18/15,552.50248,559.782578,547.002472,559.502513,2134500,559.502513,SELL
3/17/15,551.712533,553.802493,548.002468,550.842532,1805500,550.842532,BUY
3/16/15,550.952514,556.852484,546.002476,554.512509,1641000,554.512509,SELL
3/13/15,553.502537,558.402572,544.222448,547.322503,1703600,547.322503,BUY
3/12/15,553.512513,556.37253,550.462523,555.512505,1389600,555.512505,SELL
3/11/15,555.142533,558.142521,550.682486,551.182515,1820800,551.182515,BUY
3/10/15,564.252539,564.852512,554.732473,555.012538,1792300,555.012538,SELL
3/9/15,566.862541,570.272589,563.537504,568.852557,1062100,568.852557,SELL
3/6/15,574.882583,576.682625,566.762597,567.687558,1659100,567.687558,BUY
3/5/15,575.022616,577.912621,573.412548,575.332609,1389600,575.332609,SELL
3/4/15,571.872558,577.112576,568.012607,573.372583,1876800,573.372583,BUY
3/3/15,570.452587,575.392649,566.522559,573.64261,1704800,573.64261,SELL
3/2/15,560.532559,572.152623,558.752531,571.342601,2129600,571.342601,BUY
