AAAP,9.72E+11
AAL,2.66E+07
AAME,9.64E+10
AAOI,3.02E+11
AAON,1310000
AAPC,1.06E+11
AAPL,6.65E+08
AAVL,2.24E+11
AAWW,1000000
AAXJ,3190000
ABAC,2.16E+10
ABAX,1170000
ABCB,1090000
ABCD,2.37E+11
ABCO,2140000
ABCW,4.03E+11
ABDC,1.60E+11
ABEO,1.37E+11
ABEOW,0
ABGB,8.03E+11
ABIO,4.76E+10
ABMD,3450000
ABTL,2.39E+11
ABTX,2.81E+11
ABUS,2.99E+11
ABY,1710000
ACAD,3630000
ACAS,3780000
ACAT,2.80E+11
ACBI,3.47E+11
ACET,8.09E+11
ACFC,9.49E+10
ACGL,9070000
ACHC,4920000
ACHN,1340000
ACIW,2750000
ACLS,2.95E+11
ACNB,1.32E+11
ACOR,1610000
ACPW,3.51E+10
ACRS,3.96E+11
ACRX,2.39E+11
ACSF,1.01E+11
ACST,2.45E+10
ACTA,4.65E+11
ACTG,2.78E+11
ACTS,1.05E+11
ACTX,0
ACUR,2.86E+10
ACWI,6310000
ACWX,1850000
ACXM,1710000
ADAP,6.34E+11
ADAT,3.08E+10
ADBE,4.58E+07
ADHD,1.32E+11
ADI,1.86E+07
ADMA,1.01E+11
ADMP,5.57E+10
ADMS,3.00E+11
ADP,4.03E+07
ADRA,2.50E+10
ADRD,6.90E+10
ADRE,1.52E+11
ADRO,1800000
ADRU,1.62E+10
ADSK,1.37E+07
ADTN,8.08E+11
ADUS,2.35E+11
ADXS,3.91E+11
ADXSW,0
AEGN,7.69E+11
AEGR,2.95E+11
AEHR,2.42E+10
AEIS,1190000
AEMD,5.70E+10
AEPI,4.35E+11
AERI,6.56E+11
AETI,2.06E+10
AEY,2.29E+10
AEZS,2770000
AFAM,4.02E+11
AFCB,5.21E+10
AFFX,7.35E+11
AFH,2.33E+11
AFMD,1.78E+11
AFOP,2.64E+11
AFSI,5090000
AGEN,3.82E+11
AGFS,2.86E+11
AGFSW,0
AGII,1810000
AGIIL,0
AGIO,2350000
AGMX,0
AGNC,6220000
AGNCB,8450000
AGNCP,0
AGND,3.56E+10
AGRX,1.78E+11
AGTC,2.99E+11
AGYS,2.53E+11
AGZD,6.72E+10
AHGP,1430000
AHPI,9.55E+09
AIMC,7.10E+11
AIMT,8.84E+11
AINV,1420000
AIQ,9.13E+10
AIRM,1700000
AIRR,5.48E+10
AIRT,5.96E+10
AIXG,8.54E+11
AKAM,1.01E+07
AKAO,1.08E+11
AKBA,2.91E+11
AKER,9.98E+09
AKRX,3760000
AKTX,1.07E+10
ALCO,3.37E+11
ALDR,1550000
ALDX,6.91E+10
ALGN,5340000
ALGT,3330000
ALIM,1.43E+11
ALKS,1.09E+07
ALLT,1.77E+11
ALNY,8690000
ALOG,1000000
ALOT,9.74E+10
ALQA,7.78E+10
ALRM,8.14E+11
ALSK,9.88E+10
ALTR,1.60E+07
ALTY,0
ALXA,1.90E+10
ALXN,3.91E+07
AMAG,9.21E+11
AMAT,2.24E+07
AMBA,1850000
AMBC,6.75E+11
AMBCW,0
AMCC,6.07E+11
AMCN,3.44E+11
AMCX,5800000
AMD,1750000
AMDA,7.46E+09
AMED,1400000
AMEH,0
AMGN,1.21E+08
AMIC,7.42E+10
AMKR,1480000
AMNB,2.20E+11
AMOT,1.93E+11
AMOV,5.69E+07
AMPH,6.44E+11
AMRB,7.87E+10
AMRI,6.96E+11
AMRK,1.09E+11
AMRN,3.60E+11
AMRS,2.96E+11
AMSC,5.53E+10
AMSF,1030000
AMSG,4020000
AMSGP,2.72E+11
AMSWA,2.95E+11
AMTX,4.39E+10
AMWD,1060000
AMZN,3.13E+08
ANAC,4670000
ANAD,3.01E+10
ANAT,2890000
ANCB,6.40E+10
ANCX,2.27E+11
ANDA,0
ANDAU,1.74E+10
ANDE,9.26E+11
ANGI,6.14E+11
ANGO,4.12E+11
ANIK,6.05E+11
ANIP,4.87E+11
ANSS,8150000
ANTE,0
ANTH,2.11E+11
ANY,7.42E+10
AOSL,2.14E+11
APDN,9.18E+10
APDNW,0
APEI,3.65E+11
APIC,2.09E+11
APLP,9.60E+11
APOG,1520000
APOL,8.21E+11
APPF,5.29E+11
APPS,9.85E+10
APPY,9.11E+09
APRI,5.65E+10
APTO,3.00E+10
APWC,2.54E+10
AQMS,7.05E+10
AQXP,2.09E+11
ARAY,5.43E+11
ARBR,0
ARCB,6.49E+11
ARCC,4910000
ARCI,4.05E+09
ARCW,3.67E+10
ARDM,9.24E+10
ARDX,4.48E+11
AREX,9.07E+10
ARGS,8.73E+10
ARIA,1220000
ARII,1090000
ARIS,6.30E+10
ARKR,7.86E+10
ARLP,1340000
ARMH,2.33E+07
ARNA,5.05E+11
AROW,3.65E+11
ARQL,1.53E+11
ARRS,4460000
ARRY,5.73E+11
ARTNA,2.29E+11
ARTW,1.30E+10
ARTX,3.88E+10
ARWA,1.07E+11
ARWAR,0
ARWAU,0
ARWAW,0
ARWR,3.21E+11
ASBB,1.15E+11
ASBI,7.47E+10
ASCMA,2.53E+11
ASEI,3.17E+11
ASFI,1.09E+11
ASMB,1.53E+11
ASML,3.94E+07
ASNA,2100000
ASND,4.11E+11
ASPS,5.17E+11
ASRV,6.23E+10
ASRVP,0
ASTC,2.96E+10
ASTE,8.83E+11
ASTI,1.21E+10
ASUR,3.37E+10
ASYS,5.84E+10
ATAI,1.20E+11
ATAX,3.25E+11
ATEC,2.33E+10
ATHN,6110000
ATHX,8.75E+10
ATLC,4.84E+10
ATLO,2.45E+11
ATML,3560000
ATNI,1280000
ATNY,1.08E+11
ATOS,1.47E+10
ATRA,9.65E+11
ATRC,6.71E+11
ATRI,7.12E+11
ATRO,9.75E+11
ATRS,2.01E+11
ATSG,5.69E+11
ATTU,2.12E+11
ATVI,2.74E+07
AUBN,9.86E+10
AUDC,1.73E+11
AUMA,2.93E+11
AUMAU,0
AUMAW,0
AUPH,7.65E+10
AVAV,5.65E+11
AVEO,6.75E+10
AVGO,3.48E+07
AVGR,2.13E+11
AVHI,3.13E+11
AVID,2.60E+11
AVNU,1.43E+11
AVNW,5.88E+10
AVXL,1.76E+11
AWAY,3470000
AWRE,7.02E+10
AXAS,1.43E+11
AXDX,7.43E+11
AXGN,1.57E+11
AXPW,4.33E+09
AXPWW,0
AXSM,1.61E+11
AXTI,7.55E+10
AYA,2170000
AZPN,3540000
BABY,1560000
BAMM,4.95E+10
BANF,9.89E+11
BANFP,2.66E+10
BANR,1760000
BANX,1.11E+11
BASI,1.38E+10
BBBY,8950000
BBC,3.28E+10
BBCN,1440000
BBEP,4.34E+11
BBEPP,7.26E+10
BBGI,8.83E+10
BBLU,6.55E+10
BBOX,1.77E+11
BBP,2.80E+10
BBRG,1.58E+11
BBRY,4080000
BBSI,3.02E+11
BCBP,1.18E+11
BCDA,0
BCLI,4.90E+10
BCOM,7.78E+11
BCOR,4.14E+11
BCOV,2.04E+11
BCPC,2050000
BCRX,7.36E+11
BDBD,6.06E+11
BDCV,3.65E+10
BDE,1.51E+11
BDGE,5.55E+11
BDMS,2.40E+10
BDSI,3.08E+11
BEAT,3.38E+11
BEAV,4810000
BEBE,3.27E+10
BECN,1880000
BELFA,1.98E+11
BELFB,2.25E+11
BFIN,2.64E+11
BGCP,2310000
BGFV,2.04E+11
BHAC,5.59E+10
BHACR,0
BHACU,0
BHACW,0
BHBK,4.42E+11
BIB,7.90E+11
BICK,9.39E+09
BIDU,7.14E+07
BIIB,6.47E+07
BIND,9.08E+10
