Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
TFSC,1347 Capital Corp.,9.77,58.11M,2014,Finance,Business Services
TFSCR,1347 Capital Corp.,0.2101,n/a,2014,Finance,Business Services
TFSCU,1347 Capital Corp.,10.15,42.43M,2014,Finance,Business Services
TFSCW,1347 Capital Corp.,0.3,n/a,2014,Finance,Business Services
PIH,1347 Property Insurance Holdings  Inc.,7.77,48.05M,2014,Finance,Property-Casualty Insurers
FLWS,1-800 FLOWERS.COM  Inc.,7.65,496.19M,1999,Consumer Services,Other Specialty Stores
FCTY,1st Century Bancshares  Inc,8.374,86.43M,2006,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),12.48,94.18M,2006,Finance,Savings Institutions
SRCE,1st Source Corporation,33.87,883.4M,2006,Finance,Major Banks
VNET,21Vianet Group  Inc.,20.04,1.74B,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,2U  Inc.,21.9,998.12M,2014,Technology,Computer Software: Prepackaged Software
DGLD,3X Inverse Gold ETN Velocityshares,91.77,12.48M,2006,Finance,Investment Bankers/Brokers/Service
DSLV,3X Inverse Silver ETN Velocityshares,70.13,39.76M,2006,Finance,Investment Bankers/Brokers/Service
UGLD,3X Long Gold ETN Velocityshares,7.81,7.7M,2006,Finance,Investment Bankers/Brokers/Service
USLV,3X Long Silver ETN Velocityshares,10.75,21.1M,2006,Finance,Investment Bankers/Brokers/Service
JOBS,51job  Inc.,31.81,1.87B,2004,Technology,Diversified Commercial Services
SIXD,6D Global Technologies  Inc.,2.9,226.92M,2006,Consumer Services,Professional Services
CAFD,8point3 Energy Partners LP,12.01,852.74M,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,11.57,1.03B,2006,Public Utilities,Telecommunications Equipment
AVHI,A V Homes  Inc.,13.99,312.59M,2006,Capital Goods,Homebuilding
SHLM,A. Schulman  Inc.,33.76,989.03M,1972,Basic Industries,Major Chemicals
AAON,AAON  Inc.,24.13,1.31B,2006,Capital Goods,Industrial Machinery/Components
ABAX,ABAXIS  Inc.,51.69,1.17B,1992,Capital Goods,Industrial Machinery/Components
ABY,Abengoa Yield plc,17.08,1.71B,2014,Public Utilities,Electric Utilities: Central
ABGB,Abengoa  S.A.,4.78,802.82M,2013,Consumer Services,Military/Government/Technical
ABEO,Abeona Therapeutics Inc.,4.19,136.97M,2006,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,1.779,n/a,2006,Health Care,Major Pharmaceuticals
ABMD,ABIOMED  Inc.,81.24,3.45B,2006,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,1.34,142.5M,2006,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,5.47,277.53M,2006,Miscellaneous,Multi-Sector Companies
ACHC,Acadia Healthcare Company  Inc.,68.59,4.92B,2006,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,36,3.63B,1985,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma  Inc.,2.3,24.52M,2006,Health Care,Major Pharmaceuticals
AXDX,Accelerate Diagnostics  Inc.,16.6,742.67M,2006,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,39.08,1.3B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,21.52,226.91M,2006,Finance,Savings Institutions
ARAY,Accuray Incorporated,6.8,543.12M,2007,Health Care,Medical/Dental Instruments
VXDN,AccuShares Spot CBOE VIX Down Shares,21.8,9.27M,2006,n/a,n/a
VXUP,AccuShares Spot CBOE VIX Up Shares,18.72,"$795,600 ",2006,n/a,n/a
ACRX,AcelRx Pharmaceuticals  Inc.,5.38,239.11M,2011,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,27.41,808.65M,2006,Health Care,Other Pharmaceuticals
AKAO,Achaogen  Inc.,5.9,108.3M,2014,Health Care,Major Pharmaceuticals
ACHN,Achillion Pharmaceuticals  Inc.,9.83,1.34B,2006,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide  Inc.,23.28,2.75B,2006,Technology,Computer Software: Prepackaged Software
ACRS,Aclaris Therapeutics  Inc.,20.385,395.62M,2015,Health Care,Major Pharmaceuticals
ACNB,ACNB Corporation,21.93,132.34M,2006,Finance,Major Banks
ACOR,Acorda Therapeutics  Inc.,37.4,1.61B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTS,Actions Semiconductor Co.  Ltd.,1.8,105.25M,2005,Technology,Semiconductors
ACPW,Active Power  Inc.,1.52,35.12M,2000,Public Utilities,Electric Utilities: Central
ATVI,Activision Blizzard  Inc,37.51,27.43B,2006,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,11.39,464.69M,2006,Technology,EDP Services
ACUR,Acura Pharmaceuticals  Inc.,2.42,28.56M,2006,Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,21.96,1.71B,2006,Technology,EDP Services
ADMS,Adamas Pharmaceuticals  Inc.,16.26,299.54M,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,4.15,55.74M,2006,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,8.96,634.24M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,21.17,235.16M,2009,Health Care,Medical/Nursing Services
AEY,ADDvantage Technologies Group  Inc.,2.27,22.87M,2006,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,5.55,82.04M,2015,Technology,Semiconductors
ADMA,ADMA Biologics Inc,9.4,100.7M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,91.81,45.79B,1986,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN  Inc.,16.3,807.83M,1994,Public Utilities,Telecommunications Equipment
ADRO,Aduro Biotech  Inc.,28.83,1.8B,2015,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,25.2,972.09M,2015,Health Care,Major Pharmaceuticals
AEIS,Advanced Energy Industries  Inc.,28.94,1.19B,1995,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices  Inc.,2.22,1.75B,2006,Technology,Semiconductors
ADXS,Advaxis  Inc.,11.73,391.38M,2006,Health Care,Major Pharmaceuticals
ADXSW,Advaxis  Inc.,8.28,n/a,2006,Health Care,Major Pharmaceuticals
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.079,2.31M,2006,n/a,n/a
YPRO,AdvisorShares YieldPro ETF,22.98,32.75M,2006,n/a,n/a
AEGR,Aegerion Pharmaceuticals  Inc.,10.19,294.87M,2010,Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,21.23,769.48M,2006,Basic Industries,Water Supply
AEHR,Aehr Test Systems,1.86,24.16M,1997,Capital Goods,Electrical Products
AMTX,Aemetis  Inc,2.24,43.86M,2006,Basic Industries,Major Chemicals
AEPI,AEP Industries Inc.,85.28,435.15M,1986,Capital Goods,Specialty Chemicals
AERI,Aerie Pharmaceuticals  Inc.,24.87,655.7M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,AeroVironment  Inc.,24.01,565.18M,2007,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,4.23,2.77B,2006,Health Care,Major Pharmaceuticals
AEMD,Aethlon Medical  Inc.,7.4899,57M,2006,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AFMD,Affimed N.V.,5.97,177.51M,2014,Health Care,Major Pharmaceuticals
AFFX,Affymetrix  Inc.,9.19,734.9M,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Agenus Inc.,4.51,381.75M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,Agile Therapeutics  Inc.,7.975,177.78M,2014,Health Care,Major Pharmaceuticals
AGYS,Agilysys  Inc.,11.02,252.81M,2006,Technology,EDP Services
AGIO,Agios Pharmaceuticals  Inc.,62.47,2.35B,2013,Health Care,Major Pharmaceuticals
AGFS,AgroFresh Solutions  Inc.,5.72,285.66M,2014,Finance,Business Services
AGFSW,AgroFresh Solutions  Inc.,0.7799,n/a,2014,Finance,Business Services
AIMT,Aimmune Therapeutics  Inc.,20.93,884.28M,2015,Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,43.31,1.7B,2006,Transportation,Transportation Services
AIRT,Air T  Inc.,25.12,59.6M,2006,Transportation,Air Freight/Delivery Services
ATSG,Air Transport Services Group  Inc,8.84,568.93M,2006,Transportation,Air Freight/Delivery Services
AMCN,AirMedia Group Inc,5.39,344.05M,2007,Technology,Advertising
AIXG,Aixtron SE,7.65,853.56M,2006,Technology,Industrial Machinery/Components
AKAM,Akamai Technologies  Inc.,56.92,10.13B,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,19.2,10.68M,2006,Health Care,Major Pharmaceuticals
AKBA,Akebia Therapeutics  Inc.,9.5,291M,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,1.9401,9.98M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,Akorn  Inc.,32.82,3.76B,2006,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings  Inc.,17.85,813.5M,2015,Technology,Computer Software: Prepackaged Software
ALSK,Alaska Communications Systems Group  Inc.,1.96,98.81M,1999,Public Utilities,Telecommunications Equipment
AMRI,Albany Molecular Research  Inc.,19.6,695.83M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABDC,Alcentra Capital Corp.,11.87,160.44M,2006,n/a,n/a
ADHD,Alcobra Ltd.,6.22,131.75M,2013,Health Care,Major Pharmaceuticals
ALDR,Alder BioPharmaceuticals  Inc.,35.54,1.55B,2014,Health Care,Major Pharmaceuticals
ALDX,Aldeyra Therapeutics  Inc.,7.11,69.06M,2014,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals  Inc.,173.59,39.11B,1996,Health Care,Major Pharmaceuticals
ALXA,Alexza Pharmaceuticals  Inc.,0.97,18.98M,2006,Health Care,Major Pharmaceuticals
ALCO,Alico  Inc.,40.68,336.89M,2006,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,Align Technology  Inc.,67.19,5.34B,2001,Health Care,Industrial Specialties
ALIM,Alimera Sciences  Inc.,3.22,143.44M,2010,Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,72.3,10.85B,1991,Health Care,Major Pharmaceuticals
ABTX,Allegiance Bancshares  Inc.,22.6,280.76M,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,197.57,3.33B,2006,Transportation,Air Freight/Delivery Services
AFOP,Alliance Fiber Optic Products  Inc.,15.21,264.42M,2000,Technology,Semiconductors
AIQ,Alliance HealthCare Services  Inc.,8.49,91.27M,2001,Health Care,Medical Specialities
AHGP,Alliance Holdings GP  L.P.,23.96,1.43B,2006,Energy,Coal Mining
ARLP,Alliance Resource Partners  L.P.,18,1.34B,1999,Energy,Coal Mining
AHPI,Allied Healthcare Products  Inc.,1.19,9.55M,1992,Health Care,Industrial Specialties
AMOT,Allied Motion Technologies  Inc.,20.73,192.65M,2006,Capital Goods,Electrical Products
ALQA,Alliqua BioMedical  Inc.,2.81,77.75M,2006,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,5.3,176.82M,2006,Technology,Computer Communications Equipment
MDRX,Allscripts Healthcare Solutions  Inc.,14.95,2.83B,2006,Technology,EDP Services
AFAM,Almost Family Inc,40.91,401.86M,2006,Health Care,Medical/Nursing Services
ALNY,Alnylam Pharmaceuticals  Inc.,102.61,8.69B,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,9.62,213.56M,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,756.6,520.33B,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,777,534.36B,2006,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,22.1837,23.29M,2006,n/a,n/a
ATEC,Alphatec Holdings  Inc.,0.23,23.25M,2006,Health Care,Medical/Dental Instruments
ALTR,Altera Corporation,52.72,15.97B,1988,Technology,Semiconductors
ASPS,Altisource Portfolio Solutions S.A.,26.81,517.39M,2006,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,27.31,710.41M,2006,Capital Goods,Industrial Machinery/Components
AMAG,AMAG Pharmaceuticals  Inc.,26.55,921.39M,2006,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation PLC,1.96,359.63M,2006,Health Care,Major Pharmaceuticals
AMRK,A-Mark Precious Metals  Inc.,15.63,109M,2006,Basic Industries,Other Specialty Stores
AYA,Amaya Inc.,16.25,2.17B,2006,Technology,"Computer Software: Programming, Data Processing"
AMZN,Amazon.com  Inc.,668.45,313.34B,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,Ambac Financial Group  Inc.,14.99,674.86M,2006,Finance,Property-Casualty Insurers
AMBCW,Ambac Financial Group  Inc.,6.46,n/a,2006,Finance,Property-Casualty Insurers
AMBA,Ambarella  Inc.,58.47,1.85B,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,80.15,5.8B,2006,Consumer Services,Television Services
DOX,Amdocs Limited,56.89,8.74B,2006,Technology,EDP Services
AMDA,Amedica Corporation,0.1135,7.46M,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,41.6,1.4B,2006,Health Care,Medical/Nursing Services
UHAL,Amerco,432.24,8.48B,2006,Consumer Services,Rental/Leasing Companies
ASBI,Ameriana Bancorp,24.54,74.68M,2006,Finance,Savings Institutions
ATAX,America First Multifamily Investors  L.P.,5.39,324.76M,2006,Finance,Finance: Consumer Services
AMOV,America Movil  S.A.B. de C.V.,17.05,56.93B,2006,Public Utilities,Telecommunications Equipment
AAL,American Airlines Group  Inc.,42.2,26.6B,2006,Transportation,Air Freight/Delivery Services
AGNC,American Capital Agency Corp.,17.96,6.22B,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,American Capital Agency Corp.,24.385,8.45B,2006,Consumer Services,Real Estate Investment Trusts
AGNCP,American Capital Agency Corp.,25.65,n/a,2006,Consumer Services,Real Estate Investment Trusts
MTGE,American Capital Mortgage Investment Corp.,14.89,744.66M,2011,Consumer Services,Real Estate Investment Trusts
MTGEP,American Capital Mortgage Investment Corp.,24.6399,49.28M,2006,Consumer Services,Real Estate Investment Trusts
ACSF,American Capital Senior Floating  Ltd.,10.09,100.9M,2014,n/a,n/a
ACAS,American Capital  Ltd.,14.33,3.78B,1997,n/a,n/a
GNOW,American Caresource Holdings Inc,0.95,6.41M,2006,Health Care,Hospital/Nursing Management
AETI,American Electric Technologies  Inc.,2.4899,20.55M,2006,Energy,Industrial Machinery/Components
AMIC,American Independence Corp.,9.1683,74.15M,2006,Finance,Accident &Health Insurance
AMNB,American National Bankshares  Inc.,25.45,219.81M,2006,Finance,Major Banks
ANAT,American National Insurance Company,107.45,2.89B,2006,Finance,Life Insurance
APEI,American Public Education  Inc.,22.43,364.85M,2007,Consumer Services,Other Consumer Services
ARII,American Railcar Industries  Inc.,54.96,1.09B,2006,Capital Goods,Railroads
AMRB,American River Bankshares,10.71,78.65M,2006,Finance,Major Banks
ASEI,American Science and Engineering  Inc.,44.24,317.09M,2006,Health Care,Medical Electronics
AMSWA,American Software  Inc.,10.32,295.49M,2006,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,3.95,55.31M,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,65.11,1.06B,1986,Basic Industries,Forest Products
CRMT,America&#39;s Car-Mart  Inc.,32.55,275.81M,2006,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,33.79,1.09B,1994,Finance,Major Banks
AMSF,AMERISAFE  Inc.,53.96,1.03B,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,3.3,62.27M,2006,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,26.35,n/a,2006,Finance,Major Banks
ATLO,Ames National Corporation,26.3,244.88M,2006,Finance,Major Banks
AMGN,Amgen Inc.,159.91,120.62B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,Amicus Therapeutics  Inc.,10.7,1.34B,2007,Health Care,Major Pharmaceuticals
AMKR,Amkor Technology  Inc.,6.24,1.48B,1998,Technology,Semiconductors
AMPH,Amphastar Pharmaceuticals  Inc.,14.3,643.78M,2014,Health Care,Major Pharmaceuticals
AMSG,Amsurg Corp.,83.04,4.02B,2006,Health Care,Medical/Nursing Services
AMSGP,Amsurg Corp.,157.5,271.69M,2006,Health Care,Medical/Nursing Services
ASYS,Amtech Systems  Inc.,4.44,58.39M,2006,Technology,Industrial Machinery/Components
AFSI,AmTrust Financial Services  Inc.,61.35,5.09B,2006,Finance,Property-Casualty Insurers
AMRS,Amyris  Inc.,1.54,295.95M,2010,Basic Industries,Major Chemicals
ANAC,Anacor Pharmaceuticals  Inc.,105.78,4.67B,2010,Health Care,Major Pharmaceuticals
ANAD,ANADIGICS  Inc.,0.339,30.12M,1995,Technology,Semiconductors
ADI,Analog Devices  Inc.,59.42,18.64B,2006,Technology,Semiconductors
ALOG,Analogic Corporation,80.74,1B,1972,Capital Goods,Electrical Products
AVXL,Anavex Life Sciences Corp.,5.83,175.55M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch
